Title,Rating,Votes,Duration,Genre
Buffalo Kids,6.6, 696,1h 33m,Animation
The Most Precious of Cargoes,7.1, 996,1h 21m,Animation
Megamind vs. The Doom Syndicate,2.5, 5.6K,1h 23m,Animation
Orion and the Dark,6.3, 17K,1h 33m,Animation
The Remarkable Life of Ibelin,8.2, 12K,1h 43m,Animation
Justice League: Crisis on Infinite Earths - Part One,6.2, 8.5K,1h 33m,Animation
Justice League: Crisis on Infinite Earths - Part Three,6.1, 4.5K,1h 34m,Animation
My Hero Academia: You're Next,7.0, 2.2K,1h 50m,Animation
That Christmas,6.8, 17K,1h 31m,Animation
Ultraman: Rising,6.9, 6.4K,1h 57m,Animation
Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, 8.5K,1h 44m,Animation
The Glassworker,7.3, 1.7K,1h 38m,Animation
Dan Da Dan: First Encounter,8.2, 2.7K,1h 23m,Animation
Woody Woodpecker Goes to Camp,4.5, 2.6K,1h 40m,Animation
Grand Theft Hamlet,6.9, 1.9K,1h 29m,Animation
Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, 3.9K,1h 22m,Animation
10 Lives,5.9, 1.9K,1h 28m,Animation
Doraemon the Movie: Nobita's Earth Symphony,6.6, 1.5K,1h 55m,Animation
Dragonkeeper,5.7, 1.7K,1h 38m,Animation
Limonov: The Ballad of Eddie,6.0, 801,2h 18m,Animation
The Colors Within,7.1, 977,1h 41m,Animation
Mars,7.9, 23,1h 24m,Animation
Justice League: Crisis on Infinite Earths - Part Two,5.5, 5.3K,1h 34m,Animation
200% Wolf,5.9, 1.3K,1h 38m,Animation
Johnny Puff: Secret Mission,4.8, 453,1h 27m,Animation
Bloody Escape: Bats out of Hell,5.5, 51,1h 40m,Animation
The Tiger's Apprentice,5.7, 2.2K,1h 24m,Animation
Overlord: The Sacred Kingdom,6.9, 1K,2h 15m,Animation
Haikyu!! The Dumpster Battle,7.7, 6.2K,1h 25m,Animation
Panda Bear in Africa,5.5, 348,1h 24m,Animation
Crayon Shin-chan: Ora's Dinosaur Diary,6.5, 362,1h 46m,Animation
Blue Lock: Episode Nagi,6.6, 2.5K,1h 31m,Animation
Super-Charlie,5.8, 123,1h 20m,Animation
A Sloth Story,5.6, 206,1h 30m,Animation
Lesbian Space Princess,7.2, 139,1h 27m,Animation
Rebellious,6.0, 196,1h 34m,Animation
Ryan's World the Movie: Titan Universe Adventure,1.8, 691,1h 20m,Animation
The Night Before Christmas in Wonderland,6.3, 519,1h 20m,Animation
Given 3: To the Sea,8.8, 67,1h 20m,Animation
Elli and the Ghostly Ghost Train,5.1, 101,1h 26m,Animation
Re: Zero - Starting Life in Another World- Season 3 Episode 1 90-minute Special 'Theatrical Malice',8.8, 1.2K,1h 30m,Animation
Frida,7.5, 1.5K,1h 27m,Animation
Sanatorium Under the Sign of the Hourglass,5.4, 118,1h 15m,Animation
Noah's Ark,4.3, 663,1h 36m,Animation
