Title,Rating,Votes,Duration,Genre
Danger in the Dorm,5.0, 153,1h 26m,Mystery
Final Girl: Halloween,4.6, 109,1h 25m,Mystery
A Stranger in the Woods,4.5, 571,1h 24m,Mystery
Not Your Average Family,5.6, 106,1h 37m,Mystery
Chaalchitro: The Frame Fatale,6.4, 863,2h 4m,Mystery
Suspect,4.5, 82,1h 34m,Mystery
Granny,8.0, 7,40m,Mystery
7/G,4.4, 639,2h 20m,Mystery
Prasanna Vadanam,6.6, 538,2h 26m,Mystery
Flesh of the Unforgiven,9.2, 42,1h 28m,Mystery
Black.White.Red.,7.8, 24,1h 33m,Mystery
Bodiless,5.7, 1K,1h 30m,Mystery
The Star City Murders,4.2, 143,1h 19m,Mystery
Next to Us,4.8, 225,2h 5m,Mystery
Ranam Aram Thavarel,5.9, 799,2h 1m,Mystery
Shadows of Betrayal: Chronicles of Ian Blair,7.3, 12,1h 5m,Mystery
LasseMajas detektivbyrå - Maskoten som försvann,6.0, 59,1h 30m,Mystery
Uninvited,6.4, 79,1h 33m,Mystery
Shigatsu ni nareba kanojo wa,6.2, 434,1h 48m,Mystery
Foreclosure 2,3.5, 109,1h 17m,Mystery
A Strange House,5.5, 321,1h 50m,Mystery
Rakshana,5.4, 1.1K,2h 19m,Mystery
About a Hero,6.4, 37,1h 24m,Mystery
Cold Blows the Wind,3.9, 354,1h 25m,Mystery
The Gatekeeper,5.3, 18,1h 37m,Mystery
Best Man Dead Man,7.2, 14,1h 23m,Mystery
Glass Casa,7.7, 46,1h 46m,Mystery
What Happens in Miami,4.3, 220,1h 30m,Mystery
Beline,5.4, 1.3K,1h 28m,Mystery
Water Horse,6.0, 240,1h 25m,Mystery
Wishes of the Blue Girl,4.4, 373,1h 13m,Mystery
Vivekam,8.2, 308,1h 44m,Mystery
My Husband Hired a Hitman,4.5, 90,1h 32m,Mystery
Flashlight,4.2, 11,1h 17m,Mystery
The Box,3.6, 72,1h 19m,Mystery
Aru Tozasareta Yuki no Sanso de,5.1, 134,1h 49m,Mystery
The Night Curse of Reatrei,4.5, 114,1h 35m,Mystery
Behave,3.1, 171,1h 28m,Mystery
Zim Zim Ala Kazim,3.5, 108,1h 40m,Mystery
A Song from the Dark,4.8, 2.2K,1h 45m,Mystery
A Girl Upstairs,6.5, 46,1h 30m,Mystery
Videotheque,6.2, 102,1h 52m,Mystery
Chithini,6.0, 551,2h 31m,Mystery
While You Were Sleeping,6.1, 163,1h 39m,Mystery
The Sintern,4.7, 157,1h 38m,Mystery
O Clube das Mulheres de Negócios,4.7, 105,1h 35m,Mystery
Karina,7.1, 17,1h 31m,Mystery
Zateryannye,6.0, 202,1h 30m,Mystery
The Hunter's Anthology: The Demon Hunter,5.0, 95,2h 6m,Mystery
Tale of the Land,6.3, 12,1h 39m,Mystery
Aftermath,5.2, 4.4K,1h 18m,Mystery
Perfumed with Mint,6.3, 23,1h 51m,Mystery
Somebody,6.5, 10,1h 52m,Mystery
Pride,9.0, 13,2h 5m,Mystery
The Apocalypse Box,3.3, 241,1h 26m,Mystery
Dark Deceptions,6.2, 36,1h 22m,Mystery
The Legend of the Vagabond Queen of Lagos,7.8, 37,1h 40m,Mystery
Saka Perawan,5.1, 54,1h 31m,Mystery
A Knife in the Dark,3.2, 89,1h 16m,Mystery
Cidade; Campo,6.3, 142,1h 59m,Mystery
Birthmark,4.5, 191,1h 57m,Mystery
Real Life Fiction,3.8, 14,1h 35m,Mystery
Raktaksha,8.1, 1.4K,1h 58m,Mystery
Vikaasaparva,8.7, 541,2h 14m,Mystery
Nico,8.3, 46,1h 49m,Mystery
Room 0,3.1, 213,1h 42m,Mystery
Daitya,8.2, 8,1h 41m,Mystery
Anak Perjanjian Syaitan 2,6.6, 33,1h 29m,Mystery
Dr. Jason II - Lights & Shadows,4.9, 329,1h 2m,Mystery
Kaljiga,8.2, 39,1h 54m,Mystery
Kuramerukagari,5.8, 82,1h 1m,Mystery
Anno 2020,8.6, 25,2h 25m,Mystery
Housekeeping,6.0, 41,1h 38m,Mystery
The Women in the Lakes,4.9, 28,2h 21m,Mystery
Nature Cat's Nature Movie Special Extraordinaire,7.3, 19,53m,Mystery
Waterdrop,7.2, 39,1h 30m,Mystery
The Secret of Pin-Up Island,7.4, 92,1h 47m,Mystery
Rukhwat,8.6, 8,1h 57m,Mystery
Scarlet Blue,5.7, 18,1h 46m,Mystery
Shri Swapankumarer Badami Hyenar Kobole,5.6, 324,2h 26m,Mystery
Portraits,4.9, 44,1h 22m,Mystery
Meitantei Conan Bâsasu Kaitô Kiddo,6.1, 162,1h 21m,Mystery
The Mystery of Humanoid Puppet,6.7, 61,1h 28m,Mystery
Insane Like Me?,4.5, 54,1h 26m,Mystery
Amityville Turkey Day,3.1, 352,1h 34m,Mystery
The Victims,5.8, 85,1h 39m,Mystery
Ruki vverkh!,5.5, 255,1h 42m,Mystery
Gossip to Die For,5.3, 82,1h 34m,Mystery
Di Renjie: Tongtian xuan an,7.2, 16,1h 25m,Mystery
The Haunting of Hollywood,7.1, 268,1h 25m,Mystery
Who Killed Angel Adams?,6.3, 24,1h 16m,Mystery
Los capítulos perdidos,6.9, 16,1h 8m,Mystery
Dream Lock,8.6, 21,1h 40m,Mystery
"Rapunzel, El Perro y El Brujo",7.6, 22,1h 49m,Mystery
Lipstick on the Glass,4.6, 12,1h 56m,Mystery
Transmedium: Fastmovers & USOs,6.7, 33,1h 53m,Mystery
Joy Hanu Man,8.9, 25,2h 23m,Mystery
Kuchinai sakura,6.4, 51,1h 59m,Mystery
Kurukku,6.6, 532,1h 49m,Mystery
Welcome to the Game,5.9, 64,1h 30m,Mystery
Churul,9.3, 195,1h 44m,Mystery
Sragaal,8.4, 19,2h 20m,Mystery
Danger Zone,8.4, 5,2h 2m,Mystery
Sanak,8.7, 9,2h 33m,Mystery
Satham Indri Mutham Tha,7.0, 1.2K,1h 47m,Mystery
Miss PJ,5.3, 65,1h 55m,Mystery
Tilottoma,8.4, 24,1h 38m,Mystery
Winner,5.4, 27,1h 8m,Mystery
Malam Keramat,6.2, 27,1h 30m,Mystery
Una historia y ya...,4.0, 41,1h 27m,Mystery
L.I.F.E.,4.2, 31,1h 48m,Mystery
Muroi Shinji: Yaburezaru Mono,7.7, 8,1h 55m,Mystery
The Dragon's Tomb,6.8, 52,1h 17m,Mystery
Guadalupe: Mother of Humanity,7.1, 39,1h 42m,Mystery
Grayson's Encounter,7.3, 22,1h 10m,Mystery
Danyang Mahar Tukar Nyawa,6.5, 7,1h 50m,Mystery
The Fall of 2008,7.7, 11,1h 1m,Mystery
10/31 Part 4,5.6, 17,1h 27m,Mystery
The Stranger,7.5, 9,1h 40m,Mystery
Nayan Rahasya,4.8, 168,1h 54m,Mystery
Artificial Evil Awakens,9.2, 10,1h 3m,Mystery
Dead Dead Full Dead,6.6, 14,1h 50m,Mystery
Chandranum Policeum,8.6, 579,1h 53m,Mystery
Haunting Trophies,7.7, 66,2h 30m,Mystery
Dead Boys Club,6.2, 23,1h 45m,Mystery
A kiút,9.6, 60,47m,Mystery
Dharma Daiva,7.7, 24,1h 52m,Mystery
Aranyar Prachin Probad,6.6, 17,2h 3m,Mystery
The Washer,7.5, 9,1h 30m,Mystery
The Choice,9.4, 7,40m,Mystery
Swakaryam Sambhavabahulam,6.3, 183,1h 56m,Mystery
Combat Code: Hunt,7.4, 17,1h 16m,Mystery
Strangers,7.4, 7,1h 39m,Mystery
Durga,8.5, 172,2h 14m,Mystery
Bigul,9.3, 46,2h 24m,Mystery
American Dirge,9.6, 5,1h 21m,Mystery
Advent,7.5, 6,1h 59m,Mystery
Blue Christmas,5.6, 21,1h 19m,Mystery
First Person Savior,4.9, 12,1h 21m,Mystery
Problematic Intentions,4.6, 15,1h 30m,Mystery
Idealnaya zhertva,8.2, 7,1h 32m,Mystery
Kadhai,9.3, 33,1h 40m,Mystery
Der Bote,8.8, 8,51m,Mystery
LUDA,7.2, 6,1h 26m,Mystery
Dai jia fa de ren,5.4, 59,2h 1m,Mystery
Ellige Payana Yavudo Daari,8.2, 255,2h 14m,Mystery
Bo Nan Za,9.1, 28,1h 1m,Mystery
Hidden Memories,5.9, 31,1h 24m,Mystery
